City,Median Age,Male Population,Female Population,Total Population,State
Florence-Graham,30.2,34186,32173,66359,CA
Cape Coral,45.0,85626,89604,175230,FL
Bridgeport,34.1,71509,76110,147619,CT
Plantation,40.6,42881,49674,92555,FL
Orem,26.1,48695,45762,94457,UT
Lexington-Fayette  county,34.4,154032,160456,314488,KY
Layton,29.5,37748,36394,74142,UT
Warner Robins,31.4,35093,38909,74002,GA
Greensboro,35.5,132251,153093,285344,NC
Minneapolis,32.4,206547,204388,410935,MN
Baltimore,34.7,294027,327822,621849,MD
Stockton,32.5,150976,154674,305650,CA
Gainesville,26.0,60803,69330,130133,FL
Philadelphia,34.1,741270,826172,1567442,PA
Camden,27.9,36437,39694,76131,NJ
Guaynabo,42.2,33066,37426,70492,PR
Melbourne,43.4,39180,40956,80136,FL
Huntsville,38.1,91764,97350,189114,AL
Columbus,32.5,413981,435086,849067,OH
Broomfield,36.8,31755,33310,65065,CO
Saint Paul,31.5,149547,151293,300840,MN
New Orleans,35.9,185736,203881,389617,LA
Lynwood,29.4,35634,36371,72005,CA
Palo Alto,40.2,31451,35397,66848,CA
Austin,32.7,475718,456122,931840,TX
Thousand Oaks,44.8,65113,64216,129329,CA
Mission Viejo,44.9,48849,48314,97163,CA
Sacramento,33.7,237724,252991,490715,CA
Kent,33.4,61825,65137,126962,WA
Miami Gardens,34.9,50719,62480,113199,FL
San Buenaventura,37.7,53932,55785,109717,CA
Carolina,42.0,64758,77308,142066,PR
Tyler,33.9,50422,53283,103705,TX
Menifee,37.1,42866,44297,87163,CA
Bellflower,33.4,38936,39498,78434,CA
Rancho Cucamonga,34.5,88127,87105,175232,CA
Duluth,34.7,41271,44855,86126,MN
Vancouver,37.2,82958,89895,172853,WA
Harlingen,30.1,32404,33365,65769,TX
San Leandro,41.8,43032,47679,90711,CA
Reading,29.4,43668,44205,87873,PA
Reno,35.7,122292,119151,241443,NV
South Jordan,33.8,33669,32970,66639,UT
Chino Hills,41.9,39639,38674,78313,CA
Ponce,40.5,56968,64615,121583,PR
